subgraph,highest error node,5 absolute error
OpenVINO-EP-subgraph_10.csv,Multiply_5326,"0.1242,0.1149,0.0668,0.0195,0.0170"
OpenVINO-EP-subgraph_15.csv,Multiply_5991,"0.4376,0.3622,0.2715,0.1532,0.0512"
OpenVINO-EP-subgraph_16.csv,Multiply_6124,"0.4289,0.1315,0.0615,0.0433,0.0393"
OpenVINO-EP-subgraph_19.csv,Multiply_6523,"0.4116,0.3602,0.1467,0.0697,0.0615"
OpenVINO-EP-subgraph_21.csv,Multiply_6789,"0.5467,0.4255,0.2875,0.0705,0.0690"
OpenVINO-EP-subgraph_24.csv,Multiply_7188,"0.3463,0.2107,0.0928,0.0839,0.0829"
OpenVINO-EP-subgraph_25.csv,Multiply_7321,"0.8406,0.2148,0.0963,0.0855,0.0837"
OpenVINO-EP-subgraph_27.csv,Multiply_7587,"0.3095,0.2003,0.1388,0.1336,0.1314"
OpenVINO-EP-subgraph_28.csv,Multiply_7720,"0.1699,0.1333,0.1270,0.1237,0.1220"
OpenVINO-EP-subgraph_30.csv,Multiply_7986,"0.3150,0.2846,0.2351,0.2101,0.2023"
OpenVINO-EP-subgraph_31.csv,Multiply_8119,"0.5215,0.2821,0.2806,0.2155,0.1949"
OpenVINO-EP-subgraph_32.csv,Multiply_8252,"6.5627,2.8074,1.2310,1.0298,0.7883"
OpenVINO-EP-subgraph_33.csv,Multiply_8385,"0.8567,0.7337,0.7127,0.7063,0.5814"
OpenVINO-EP-subgraph_34.csv,Multiply_8518,"0.5392,0.4360,0.4100,0.3723,0.3029"
